sim	toetseenheid	functie	toetshoogte	volume	oppervlakte	percentage
2	1108	stedelijk	0	0	0	0
2	1938	grasland	0.97	72330.45	507125	73.55
2	1938	akkerbouw	1.08	23.7	75	75
2	1938	hoogwaardig	0.62	754.33	3150	8.43
2	1938	stedelijk	0.93	29.69	75	75
2	1101	grasland	1.35	0	0	0
2	1101	akkerbouw	1.54	0	0	0
2	1101	hoogwaardig	2.46	0	0	0
2	1101	stedelijk	0	0	0	0
2	1111	grasland	1.03	8275.67	64175	36.58
2	1111	akkerbouw	1.26	7.97	75	75
2	1111	hoogwaardig	1.07	0	0	0
2	1111	stedelijk	1.04	20.71	100	100
2	1100	grasland	1.39	0	0	0
2	1100	akkerbouw	1.37	1.87	25	20
2	1100	hoogwaardig	1.59	0	0	0
2	1100	stedelijk	1.5	0	0	0
2	1946	grasland	1.14	269.11	4925	18.33
2	1946	akkerbouw	0	0	0	0
2	1946	hoogwaardig	0.28	28.16	50	6.67
2	1946	stedelijk	0	0	0	0
2	1103	grasland	1.17	4793.27	36125	11.68
2	1103	akkerbouw	1.96	0	0	0
2	1103	hoogwaardig	1.96	0	0	0
2	1103	stedelijk	2.01	0	0	0
2	1937	grasland	0.9	95740.94	543825	69.59
2	1937	akkerbouw	1.01	57.15	275	100
2	1937	hoogwaardig	0.2	4222.48	26200	21.8
2	1937	stedelijk	0.47	127.7	250	76.92
2	1945	grasland	0.9	9952.33	49475	91.16
2	1945	akkerbouw	1.88	0	0	0
2	1945	hoogwaardig	0.71	232.13	1625	11.86
2	1945	stedelijk	0	0	0	0
2	1414	grasland	1.14	0	0	0
2	1414	akkerbouw	0.78	4.73	25	3.85
2	1414	hoogwaardig	0.66	0	0	0
2	1414	stedelijk	0.58	5.98	25	3.45
2	1995	grasland	1.07	1005.22	12625	48.75
2	1995	akkerbouw	1.1	21.17	75	100
2	1995	hoogwaardig	0.98	72.33	1925	1.67
2	1995	stedelijk	1.3	3.41	25	100
2	1296	grasland	0	0	0	0
2	1296	akkerbouw	0	0	0	0
2	1296	hoogwaardig	0	0	0	0
2	1296	stedelijk	0	0	0	0
2	1125	grasland	0.93	107602.07	588450	71.67
2	1125	akkerbouw	1.04	28.68	100	80
2	1125	hoogwaardig	0.63	710.42	4000	15.01
2	1125	stedelijk	1.54	0	0	0
2	1413	grasland	1.3	0	0	0
2	1413	akkerbouw	0	0	0	0
2	1413	hoogwaardig	0.41	34.32	675	4.89
2	1413	stedelijk	0	0	0	0
2	1411	grasland	1.19	0	0	0
2	1411	akkerbouw	0.64	6.91	25	25
2	1411	hoogwaardig	1.03	0	0	0
2	1411	stedelijk	1.11	0	0	0
2	1126	grasland	0.99	84184.75	294000	89.21
2	1126	akkerbouw	0.62	63.34	150	100
2	1126	hoogwaardig	0.64	92.84	525	2.57
2	1126	stedelijk	1.35	0	0	0
2	1110	grasland	1.04	7812.07	80025	70.79
2	1110	akkerbouw	0	0	0	0
2	1110	hoogwaardig	0.83	562.64	7075	14.39
2	1110	stedelijk	0	0	0	0
2	1257	grasland	1.17	0	0	0
2	1257	akkerbouw	0.62	35.88	100	44.44
2	1257	hoogwaardig	0.7	486.63	4875	3.07
2	1257	stedelijk	0.81	14.4	75	42.86
2	1119	grasland	0	0	0	0
2	1119	akkerbouw	0	0	0	0
2	1119	hoogwaardig	0	0	0	0
2	1119	stedelijk	0	0	0	0
2	1127	grasland	0.95	39884.2	187675	73.83
2	1127	akkerbouw	0.88	14.42	25	50
2	1127	hoogwaardig	0.45	37.96	200	6.4
2	1127	stedelijk	1.55	0	0	0
2	1255	grasland	1.08	1741.3	25425	5.28
2	1255	akkerbouw	1.19	1.19	25	50
2	1255	hoogwaardig	1.02	0	0	0
2	1255	stedelijk	2.11	0	0	0
2	1113	grasland	0	0	0	0
2	1113	akkerbouw	0	0	0	0
